t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       VG[m/s](14)       WL_NC7H16(15)     WG_NC7H16(16)     dHev[W/m2](17)    QcondL[W/m2](18)    QcondG[W/m2](19)    Qrad[W/m2](20)    Qfiber[W/m2](21)    QBuoy[W/m2](22)    hBuoy[W/m2/K](23)    QConv[W/m2](24)    hConv[W/m2/K](25)    NC7H16_x(26)      O2_x(27)          CO2_x(28)         CO_x(29)          H2O_x(30)         N2_x(31)          NC7H16_w(32)      O2_w(33)          CO2_w(34)         CO_w(35)          H2O_w(36)         N2_w(37)          
0.000000000e+00   0.000000000e+00   3.800000000e-01   1.444000000e-01   1.000000000e+00   4.536459792e-01   2.873091201e-02   1.115305059e-01   8.476318450e-02     2.662913977e-01     3.800057282e-02    2.980000000e+02   0.000000000e+00   3.000000000e-02   1.000000000e+00   1.000000000e-01   -1.389512842e+04  -0.000000000e+00    2.160173072e+05     1.127724424e+01   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      3.091101845e-02   1.829539032e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   7.861350784e-01   1.000000000e-01   1.890000000e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   7.110000000e-01   
7.295300477e-10   5.052147145e-09   3.799999859e-01   1.443999892e-01   9.999999255e-01   4.536459454e-01   2.873090881e-02   1.919410466e+01   1.458751900e+01     4.582804252e+01     5.647579094e+00    2.949929206e+02   -1.335964346e-03  4.219052177e+00   1.000000000e+00   1.575539683e-01   -2.074971415e+06  1.654702546e+06     4.249606264e+05     2.781091047e+01   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      5.094675499e-02   1.783276309e-01   0.000000000e+00   2.591865441e-24   2.923445497e-24   7.707256141e-01   1.575539683e-01   1.761022473e-01   0.000000000e+00   2.240520819e-24   1.625371701e-24   6.663437844e-01   
2.362978256e-08   1.636411535e-07   3.799997376e-01   1.443998006e-01   9.999986191e-01   4.536453527e-01   2.873085250e-02   7.959454356e+00   6.049181134e+00     1.900406301e+01     2.298130848e+00    2.965341716e+02   -6.116682887e-04  1.710106052e+00   1.000000000e+00   1.688450125e-01   -8.422926324e+05  7.663445691e+05     7.788236576e+04     1.939957783e+01   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      5.509889051e-02   1.777293717e-01   3.362447717e-25   1.226621371e-22   2.316941408e-21   7.671717378e-01   1.688450125e-01   1.739153950e-01   4.525358902e-25   1.050702156e-22   1.276454409e-21   6.572395924e-01   
1.843763253e-07   1.276844358e-06   3.799990892e-01   1.443993078e-01   9.999952064e-01   4.536438046e-01   2.873070543e-02   2.807042698e+00   2.133347337e+00     6.702108321e+00     8.759750849e-01    2.975492010e+02   -1.183594381e-04  6.499724318e-01   1.000000000e+00   1.765799900e-01   -3.205363101e+05  1.488834400e+05     1.722918655e+05     1.378797841e+01   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      5.798628091e-02   1.771499844e-01   3.588883090e-24   9.258654585e-21   0.000000000e+00   7.648637347e-01   1.765799900e-01   1.722625177e-01   4.799849821e-24   7.881117973e-21   0.000000000e+00   6.511574924e-01   
9.786020596e-07   6.777022574e-06   3.799981193e-01   1.443985706e-01   9.999901014e-01   4.536414887e-01   2.873048542e-02   6.017943087e-01   4.573614110e-01     1.436843249e+00     3.992335562e-01    2.982627230e+02   2.846671421e-04   2.955922690e-01   1.000000000e+00   1.821570524e-01   -1.459206458e+05  -1.402410253e+05    2.862675514e+05     9.808738437e+00   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      6.009067693e-02   1.767090183e-01   3.281948881e-24   4.479466780e-15   8.864189951e-15   7.632003048e-01   1.821570524e-01   1.710531385e-01   4.369410132e-24   3.795674198e-15   4.830841866e-15   6.467898090e-01   
2.491982959e-06   1.725749972e-05   3.799976784e-01   1.443982356e-01   9.999877813e-01   4.536404362e-01   2.873038544e-02   9.237514228e-02   7.020467923e-02     2.205545045e-01     2.626040780e-01    2.990160683e+02   3.390325092e-04   1.939639507e-01   1.000000000e+00   1.881696881e-01   -9.586633905e+04  -2.717642895e+05    3.676479364e+05     5.576299871e+00   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      6.238106691e-02   1.762311185e-01   3.753543917e-24   9.632129094e-12   2.116048607e-11   7.613878146e-01   1.881696881e-01   1.697512198e-01   4.972679554e-24   8.121623918e-12   1.147538803e-11   6.420790921e-01   
4.610716218e-06   3.193016772e-05   3.799978316e-01   1.443983520e-01   9.999885873e-01   4.536408019e-01   2.873042017e-02   -2.019545206e-01  -1.534845598e-01    -4.821859655e-01    2.099654884e-01    2.999016209e+02   4.090390245e-04   1.546179871e-01   1.000000000e+00   1.954044894e-01   -7.654085874e+04  -3.723530339e+05    4.488433456e+05     5.600249573e-01   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      6.516725285e-02   1.756536255e-01   3.016715640e-17   2.940015404e-09   6.693735975e-09   7.591791120e-01   1.954044894e-01   1.681882614e-01   3.972753364e-17   2.464214130e-09   3.608432417e-09   6.364072431e-01   
5.897089983e-06   4.083857329e-05   3.799981755e-01   1.443986134e-01   9.999903975e-01   4.536416230e-01   2.873049818e-02   -3.270511078e-01  -2.485576486e-01    -7.808668827e-01    1.952758934e-01    3.004223530e+02   4.500778752e-04   1.435333511e-01   1.000000000e+00   1.997419980e-01   -7.112607419e+04  -4.234453625e+05    4.944928141e+05     -2.410520888e+00  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      6.685372396e-02   1.753050527e-01   3.200351365e-15   2.746461096e-08   6.169063604e-08   7.578411342e-01   1.997419980e-01   1.672521306e-01   4.199461010e-15   2.293722904e-08   3.313659712e-08   6.330058153e-01   
6.956456612e-06   4.817490729e-05   3.799985713e-01   1.443989142e-01   9.999924803e-01   4.536425679e-01   2.873058795e-02   -4.159693907e-01  -3.161355483e-01    -9.931691162e-01    1.874400522e-01    3.008530100e+02   4.830810672e-04   1.375550003e-01   1.000000000e+00   2.033757018e-01   -6.822443813e+04  -4.633623483e+05    5.314885092e+05     -4.878926984e+00  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      6.827592642e-02   1.750113910e-01   7.175757354e-14   1.222030945e-07   2.669780474e-07   7.567122934e-01   2.033757018e-01   1.664681751e-01   9.387529462e-14   1.017506940e-07   1.429722952e-07   6.301558784e-01   
8.091492287e-06   5.603526514e-05   3.799990942e-01   1.443993116e-01   9.999952325e-01   4.536438164e-01   2.873070655e-02   -5.021206585e-01  -3.816107908e-01    -1.198865657e+00    1.817278360e-01    3.013191876e+02   5.178259247e-04   1.331268643e-01   1.000000000e+00   2.073564761e-01   -6.609533654e+04  -5.046484743e+05    5.706267264e+05     -7.562900762e+00  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      6.984387170e-02   1.746876347e-01   1.152801453e-12   4.548756963e-07   9.577044718e-07   7.554670810e-01   2.073564761e-01   1.656093687e-01   1.503127840e-12   3.774902553e-07   5.111703875e-07   6.270332665e-01   
9.302197006e-06   6.441964686e-05   3.799997542e-01   1.443998132e-01   9.999987061e-01   4.536453922e-01   2.873085625e-02   -5.854738380e-01  -4.449598290e-01    -1.397882530e+00    1.777297455e-01    3.018225411e+02   5.536991026e-04   1.299411749e-01   1.000000000e+00   2.117099101e-01   -6.458837867e+04  -5.471124984e+05    6.115658446e+05     -1.047493257e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      7.157054925e-02   1.743305606e-01   1.350374257e-11   1.444314956e-06   2.924017783e-06   7.540945218e-01   2.117099101e-01   1.646697415e-01   1.754337283e-11   1.194242327e-06   1.555004753e-06   6.236175992e-01   
1.043723268e-05   7.228000471e-05   3.800004606e-01   1.444003500e-01   1.000002424e+00   4.536470788e-01   2.873101648e-02   -6.568056919e-01  -4.991729308e-01    -1.568198012e+00    1.753713081e-01    3.022994679e+02   5.859724835e-04   1.279697487e-01   1.000000000e+00   2.158876077e-01   -6.368184809e+04  -5.853257544e+05    6.488574260e+05     -1.324755419e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      7.323935023e-02   1.739840986e-01   9.500658693e-11   3.595107661e-06   7.033840720e-06   7.527659221e-01   2.158876077e-01   1.637669376e-01   1.229954521e-10   2.962230475e-06   3.727525597e-06   6.203387648e-01   
1.149659931e-05   7.961633871e-05   3.800011897e-01   1.444009042e-01   1.000006261e+00   4.536488197e-01   2.873118186e-02   -7.172387570e-01  -5.451031619e-01    -1.712492089e+00    1.740532867e-01    3.027477881e+02   6.143272963e-04   1.267713030e-01   1.000000000e+00   2.198615514e-01   -6.315704559e+04  -6.194548930e+05    6.824491414e+05     -1.586586353e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      7.483757442e-02   1.736500312e-01   4.581420577e-10   7.493577286e-06   1.423620830e-05   7.514906641e-01   2.198615514e-01   1.629063039e-01   5.911284378e-10   6.153787423e-06   7.519150762e-06   6.172184712e-01   
1.263163498e-05   8.747669657e-05   3.800020388e-01   1.444015495e-01   1.000010730e+00   4.536508470e-01   2.873137446e-02   -7.766941824e-01  -5.902907456e-01    -1.854453070e+00    1.733490020e-01    3.032300501e+02   6.431073829e-04   1.259982719e-01   1.000000000e+00   2.241870047e-01   -6.285193819e+04  -6.542654774e+05    7.169423911e+05     -1.869541852e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      7.658921019e-02   1.732799876e-01   1.974998641e-09   1.485851518e-05   2.742514927e-05   7.500885166e-01   2.241870047e-01   1.619663111e-01   2.538994442e-09   1.215743537e-05   1.443233886e-05   6.138200918e-01   
1.384233970e-05   9.586107828e-05   3.800030151e-01   1.444022915e-01   1.000015869e+00   4.536531780e-01   2.873159590e-02   -8.342535731e-01  -6.340377462e-01    -1.991888326e+00    1.732072668e-01    3.037449519e+02   6.717800742e-04   1.256104992e-01   1.000000000e+00   2.288631587e-01   -6.274762003e+04  -6.893114176e+05    7.518723962e+05     -2.173141826e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      7.849704089e-02   1.728702885e-01   7.665603489e-09   2.807783733e-05   5.038903773e-05   7.485541961e-01   2.288631587e-01   1.609445957e-01   9.815695081e-09   2.288284241e-05   2.641213696e-05   6.101429408e-01   
1.497737538e-05   1.037214361e-04   3.800039907e-01   1.444030329e-01   1.000021004e+00   4.536555075e-01   2.873181721e-02   -8.829623374e-01  -6.710584237e-01    -2.108192214e+00    1.735110443e-01    3.042266288e+02   6.966834179e-04   1.255572492e-01   1.000000000e+00   2.332917993e-01   -6.280800526e+04  -7.201777112e+05    7.827894580e+05     -2.458552724e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      8.031750166e-02   1.724705648e-01   2.354435742e-08   4.750276606e-05   8.321702965e-05   7.470811902e-01   2.332917993e-01   1.599696912e-01   3.003504100e-08   3.856842415e-05   4.345566151e-05   6.066564554e-01   
1.626374914e-05   1.126298417e-04   3.800051599e-01   1.444039215e-01   1.000027157e+00   4.536582991e-01   2.873208241e-02   -9.329186026e-01  -7.090277655e-01    -2.227476419e+00    1.742477167e-01    3.047697515e+02   7.228684216e-04   1.257729549e-01   1.000000000e+00   2.383483379e-01   -6.301835630e+04  -7.528770501e+05    8.156895067e+05     -2.782002622e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      8.241228998e-02   1.719968910e-01   7.253505092e-08   8.043285003e-05   1.374506515e-04   7.453728630e-01   2.383483379e-01   1.588452314e-01   9.213405197e-08   6.502454428e-05   7.146803180e-05   6.026698460e-01   
1.694477055e-05   1.173460564e-04   3.800058046e-01   1.444044115e-01   1.000030551e+00   4.536598384e-01   2.873222866e-02   -9.574458173e-01  -7.276699364e-01    -2.286042526e+00    1.747736607e-01    3.050555549e+02   7.359738472e-04   1.259819144e-01   1.000000000e+00   2.410360668e-01   -6.317881515e+04  -7.692047190e+05    8.321729879e+05     -2.952905097e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      8.353277529e-02   1.717360036e-01   1.258386107e-07   1.038218714e-04   1.752495054e-04   7.444520238e-01   2.410360668e-01   1.582413259e-01   1.594744606e-07   8.374091233e-05   9.091316889e-05   6.005477938e-01   
1.777713004e-05   1.231103189e-04   3.800066145e-01   1.444050271e-01   1.000034814e+00   4.536617722e-01   2.873241237e-02   -9.848538715e-01  -7.485019710e-01    -2.351488293e+00    1.755204878e-01    3.054029201e+02   7.508632936e-04   1.263090538e-01   1.000000000e+00   2.443277123e-01   -6.341243807e+04  -7.882885440e+05    8.514853758e+05     -3.161267501e+01  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      8.491167560e-02   1.714066777e-01   2.365230711e-07   1.389231309e-04   2.312102561e-04   7.433112768e-01   2.443277123e-01   1.574948996e-01   2.989034531e-07   1.117386947e-04   1.196071896e-04   5.979457433e-01   
