t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       VG[m/s](14)       WL_C2H5OH(15)     WG_C2H5OH(16)     dHev[W/m2](17)    QcondL[W/m2](18)    QcondG[W/m2](19)    Qrad[W/m2](20)    Qfiber[W/m2](21)    QBuoy[W/m2](22)    hBuoy[W/m2/K](23)    QConv[W/m2](24)    hConv[W/m2/K](25)    C2H5OH_x(26)      O2_x(27)          CO2_x(28)         CO_x(29)          H2O_x(30)         N2_x(31)          C2H5OH_w(32)      O2_w(33)          CO2_w(34)         CO_w(35)          H2O_w(36)         N2_w(37)          
0.000000000e+00   0.000000000e+00   5.960000000e-01   3.552160000e-01   1.000000000e+00   1.115943976e+00   1.108504350e-01   1.180370595e-01   1.407001749e-01     4.420226359e-01     4.638053399e-02    2.980000000e+02   0.000000000e+00   3.000000000e-02   1.000000000e+00   1.000000000e-01   -4.281080260e+04  2.350725727e+05     2.781915603e+04     1.127724424e+01   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      8.206151358e-02   2.232992583e-01   4.638745756e-01   0.000000000e+00   0.000000000e+00   2.307646526e-01   1.000000000e-01   1.890000000e-01   5.400000000e-01   0.000000000e+00   0.000000000e+00   1.710000000e-01   
8.247079920e-09   2.321708459e-08   5.959999774e-01   3.552159731e-01   9.999999242e-01   1.115943891e+00   1.108504224e-01   2.706461007e+00   3.226101398e+00     1.013509645e+01     7.702545735e-01    2.945391769e+02   -3.761112044e-04  4.956660687e-01   1.000000000e+00   7.753718118e-02   -7.147782597e+05  6.450907638e+05     7.160866596e+04     3.026221812e+01   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      6.321307867e-02   2.303023004e-01   4.679865946e-01   7.070409468e-23   1.061825147e-22   2.384980263e-01   7.753718118e-02   1.962074027e-01   5.483643235e-01   5.272929358e-23   5.093092383e-23   1.778910926e-01   
8.964520191e-08   2.523681419e-07   5.959997802e-01   3.552157381e-01   9.999992626e-01   1.115943153e+00   1.108503123e-01   2.183703535e+00   2.602973654e+00     8.177482910e+00     6.198535940e-01    2.955429258e+02   -3.046521352e-04  3.997701838e-01   1.000000000e+00   8.220015717e-02   -5.743243736e+05  5.236190052e+05     5.224967921e+04     2.482435531e+01   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      6.709354040e-02   2.290706353e-01   4.666783192e-01   1.105666954e-21   3.899015150e-19   2.371575052e-01   8.220015717e-02   1.949285290e-01   5.461881536e-01   8.236080628e-22   1.867980517e-19   1.766831602e-01   
2.842661963e-07   8.002629282e-07   5.959994234e-01   3.552153127e-01   9.999980650e-01   1.115941817e+00   1.108501132e-01   1.574674459e+00   1.877010139e+00     5.896801263e+00     4.560481886e-01    2.969183934e+02   -2.073174326e-04  2.950686118e-01   1.000000000e+00   8.899682136e-02   -4.216549562e+05  3.569974853e+05     6.576634636e+04     1.728216839e+01   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      7.274582747e-02   2.275882769e-01   4.640558160e-01   1.500156401e-20   4.179341180e-20   2.356100796e-01   8.899682136e-02   1.933883650e-01   5.423371320e-01   1.115853726e-20   1.999400123e-20   1.752776816e-01   
6.494376108e-07   1.828289297e-06   5.959989443e-01   3.552147416e-01   9.999964573e-01   1.115940023e+00   1.108498459e-01   1.119465496e+00   1.334400508e+00     4.192142832e+00     3.384496977e-01    2.980259299e+02   -1.287978519e-04  2.195438909e-01   1.000000000e+00   9.481613162e-02   -3.123879248e+05  2.219551627e+05     9.121878173e+04     1.113247986e+01   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      7.759215740e-02   2.264084283e-01   4.616020908e-01   5.282417843e-19   9.323581673e-19   2.343973235e-01   9.481613162e-02   1.921635627e-01   5.388462756e-01   3.924654928e-19   4.455256023e-19   1.741740301e-01   
1.282840487e-06   3.611437792e-06   5.959983526e-01   3.552140363e-01   9.999944718e-01   1.115937807e+00   1.108495157e-01   7.949870201e-01   9.476219086e-01     2.977042026e+00     2.566125297e-01    2.988446843e+02   -7.051298428e-05  1.667687266e-01   1.000000000e+00   9.932312608e-02   -2.365504332e+05  1.214171570e+05     1.156908731e+05     6.541983728e+00   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      8.135194294e-02   2.255124925e-01   4.596550976e-01   8.135947738e-17   7.236733119e-17   2.334804670e-01   9.932312608e-02   1.912348775e-01   5.361017735e-01   6.039415673e-17   3.455019383e-17   1.733402229e-01   
2.273919015e-06   6.401510671e-06   5.959991386e-01   3.552149732e-01   9.999971095e-01   1.115940750e+00   1.108499543e-01   -8.869194072e-01  -1.057206405e+00    -3.321311877e+00    2.019133164e-01    2.994499973e+02   6.994374927e-04   1.313987255e-01   1.000000009e+00   1.027705882e-01   -1.859515323e+05  4.755164622e+04     1.377693140e+05     3.123838889e+00   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      8.423173261e-02   2.248348211e-01   4.581454354e-01   6.233294984e-14   7.337177832e-15   2.327880108e-01   1.027705882e-01   1.905332291e-01   5.339851566e-01   4.623971080e-14   3.500641479e-15   1.727110261e-01   
2.893877903e-06   8.146811807e-06   5.959996511e-01   3.552155841e-01   9.999988291e-01   1.115942669e+00   1.108502403e-01   -6.260428057e-01  -7.462425876e-01    -2.344390231e+00    1.817242416e-01    2.996890234e+02   5.436349270e-04   1.183231953e-01   1.000000000e+00   1.041597298e-01   -1.672957886e+05  1.906854072e+04     1.477829032e+05     1.768360010e+00   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      8.539303047e-02   2.245641327e-01   4.575309218e-01   1.178885329e-12   6.436882485e-14   2.325119150e-01   1.041597298e-01   1.902531506e-01   5.331268826e-01   8.742855544e-13   3.070283510e-14   1.724602370e-01   
4.940579054e-06   1.390866136e-05   5.960005754e-01   3.552166859e-01   1.000001931e+00   1.115946131e+00   1.108507560e-01   -3.547121707e-01  -4.228173157e-01    -1.328319773e+00    1.443733040e-01    3.002162756e+02   3.608189456e-04   9.411303125e-02   1.000000000e+00   1.072804725e-01   -1.328004706e+05  -4.025776244e+04    1.728092113e+05     -1.233091691e+00  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      8.800367599e-02   2.239624864e-01   4.561346569e-01   7.691717404e-10   1.229252198e-11   2.318991799e-01   1.072804725e-01   1.896309371e-01   5.311848109e-01   5.700953584e-10   5.859847835e-12   1.719037790e-01   
8.347831253e-06   2.350071858e-05   5.960016333e-01   3.552179469e-01   1.000005481e+00   1.115950092e+00   1.108513463e-01   -2.942768187e-01  -3.507789292e-01    -1.102004507e+00    1.167167983e-01    3.007978002e+02   2.955471675e-04   7.618143596e-02   1.000000000e+00   1.108142366e-01   -1.072626777e+05  -9.696810585e+04    2.040281761e+05     -4.561886576e+00  0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.096266914e-02   2.232926782e-01   4.545260086e-01   2.370136601e-07   2.653425338e-09   2.312184044e-01   1.108142366e-01   1.889386870e-01   5.289611982e-01   1.755537301e-07   1.264051349e-09   1.712857014e-01   
