t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       dummy(14)         WL_C2H5OH(15)     
0.000000000e+00   0.000000000e+00   7.170000000e-01   5.140890000e-01   1.000000000e+00   1.615058226e+00   1.929994580e-01   1.180370595e-01   1.692651433e-01     5.317621308e-01     4.638053399e-02    3.000000000e+02   0.000000000e+00   0.000000000e+00   1.000000000e+00   
9.688162186e-09   1.884530147e-08   7.169999779e-01   5.140889683e-01   9.999999383e-01   1.615058126e+00   1.929994401e-01   2.260463088e+00   3.241503968e+00     1.018348505e+01     6.434857572e-01    3.000000000e+02   4.843456881e-24   0.000000000e+00   1.000000000e+00   
1.089667123e-07   2.119607933e-07   7.169997740e-01   5.140886759e-01   9.999993695e-01   1.615057207e+00   1.929992754e-01   1.876406666e+00   2.690766310e+00     8.453291672e+00     5.323115371e-01    3.000000000e+02   -3.820437467e-23  0.000000000e+00   1.000000000e+00   
3.440463674e-07   6.692350301e-07   7.169993972e-01   5.140881356e-01   9.999983186e-01   1.615055510e+00   1.929989712e-01   1.393702779e+00   1.998568105e+00     6.278686876e+00     4.013781149e-01    3.000000000e+02   -5.239760643e-23  0.000000000e+00   1.000000000e+00   
7.632722135e-07   1.484708316e-06   7.169989020e-01   5.140874255e-01   9.999969372e-01   1.615053279e+00   1.929985713e-01   1.021798617e+00   1.465256972e+00     4.603240540e+00     3.046700482e-01    3.000000000e+02   6.042496863e-22   0.000000000e+00   1.000000000e+00   
1.484534427e-06   2.887699264e-06   7.169982787e-01   5.140865317e-01   9.999951987e-01   1.615050471e+00   1.929980680e-01   7.441590085e-01   1.067121456e+00     3.352460928e+00     2.341495136e-01    3.000000000e+02   -2.192738158e-23  0.000000000e+00   1.000000000e+00   
2.262425950e-06   4.400844892e-06   7.169989435e-01   5.140874850e-01   9.999970530e-01   1.615053466e+00   1.929986048e-01   -1.293281321e+00  -1.854562682e+00    -5.826280497e+00    1.975671099e-01    3.000000000e+02   6.990264235e-26   0.000000000e+00   1.000000000e+00   
3.127814624e-06   6.084188972e-06   7.169998601e-01   5.140887994e-01   9.999996097e-01   1.615057595e+00   1.929993450e-01   -7.826056643e-01  -1.122256304e+00    -3.525672159e+00    1.715778731e-01    3.000000000e+02   1.390861899e-25   0.000000000e+00   1.000000000e+00   
5.592336545e-06   1.087814862e-05   7.170011477e-01   5.140906458e-01   1.000003201e+00   1.615063396e+00   1.930003848e-01   -3.657634100e-01  -5.245055695e-01    -1.647782844e+00    1.332601161e-01    3.000000000e+02   7.941538669e-25   0.000000000e+00   1.000000000e+00   
9.958931684e-06   1.937199918e-05   7.170023989e-01   5.140924400e-01   1.000006691e+00   1.615069033e+00   1.930013951e-01   -2.500860506e-01  -3.586245965e-01    -1.126652398e+00    1.046823187e-01    3.000000000e+02   -2.393649895e-27  0.000000000e+00   1.000000000e+00   
