t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    TMax[K](6)        DTMax[mm](7)      DTMax/D[-](8)     OHMax[-](9)       DOHMax[mm](10)    DOHMax/D[-](11)    fvMax[-](12)      DfvMax[mm](13)    DfvMax/D[-](14)    
0.000000000e+00   0.000000000e+00   7.170000000e-01   5.140890000e-01   1.000000000e+00   2.700000000e+03   1.437607227e+00   2.005031000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
9.688162186e-09   1.884530147e-08   7.169999779e-01   5.140889683e-01   9.999999383e-01   2.692361512e+03   1.554970806e+00   2.168718067e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.089667123e-07   2.119607933e-07   7.169997740e-01   5.140886759e-01   9.999993695e-01   2.623024486e+03   3.007064301e+00   4.193954322e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
3.440463674e-07   6.692350301e-07   7.169993972e-01   5.140881356e-01   9.999983186e-01   2.503142571e+03   2.494142577e+00   3.478583924e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
7.632722135e-07   1.484708316e-06   7.169989020e-01   5.140874255e-01   9.999969372e-01   2.367692224e+03   2.494142577e+00   3.478586327e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.484534427e-06   2.887699264e-06   7.169982787e-01   5.140865317e-01   9.999951987e-01   2.231346131e+03   2.480570842e+00   3.459660805e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
2.262425950e-06   4.400844892e-06   7.169989435e-01   5.140874850e-01   9.999970530e-01   2.140811709e+03   2.466999108e+00   3.440729070e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
3.127814624e-06   6.084188972e-06   7.169998601e-01   5.140887994e-01   9.999996097e-01   2.071520955e+03   2.375822520e+00   3.313560647e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
5.592336545e-06   1.087814862e-05   7.170011477e-01   5.140906458e-01   1.000003201e+00   1.951584176e+03   2.266365300e+00   3.160894940e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
9.958931684e-06   1.937199918e-05   7.170023989e-01   5.140924400e-01   1.000006691e+00   1.840868288e+03   2.266365300e+00   3.160889425e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
1.308672344e-05   2.545614366e-05   7.170031713e-01   5.140935476e-01   1.000008846e+00   1.791799046e+03   2.254781806e+00   3.144730591e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00    0.000000000e+00   0.000000000e+00   0.000000000e+00    
