t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       dummy(14)         WL_NC7H16(15)     
0.000000000e+00   0.000000000e+00   7.000000000e-01   4.900000000e-01   1.000000000e+00   1.539380400e+00   1.795943800e-01   6.448034972e-02   9.027248961e-02     2.835993902e-01     2.160507588e-02    3.000000000e+02   0.000000000e+00   0.000000000e+00   1.000000000e+00   
1.436128106e-11   2.930873687e-11   6.999999999e-01   4.899999998e-01   9.999999997e-01   1.539380400e+00   1.795943799e-01   7.897928133e+00   1.105709938e+01     3.473690220e+01     3.179185169e+00    3.000000000e+02   1.959358844e-21   0.000000000e+00   1.000000000e+00   
4.052221233e-08   8.269839251e-08   6.999997281e-01   4.899996194e-01   9.999992233e-01   1.539379205e+00   1.795941708e-01   5.835668643e+00   8.169932927e+00     2.566660126e+01     2.430112100e+00    3.000000000e+02   -2.913059888e-21  0.000000000e+00   1.000000000e+00   
2.056387203e-07   4.196708578e-07   6.999990244e-01   4.899986341e-01   9.999972124e-01   1.539376109e+00   1.795936291e-01   3.284471920e+00   4.598254279e+00     1.444584186e+01     1.491141695e+00    3.000000000e+02   1.283591619e-21   0.000000000e+00   1.000000000e+00   
5.293259318e-07   1.080257004e-06   6.999982397e-01   4.899975355e-01   9.999949705e-01   1.539372658e+00   1.795930251e-01   1.834406254e+00   2.568162297e+00     8.068119806e+00     9.422576620e-01    3.000000000e+02   1.223062984e-25   0.000000000e+00   1.000000000e+00   
1.185029750e-06   2.418428061e-06   6.999944578e-01   4.899922410e-01   9.999841652e-01   1.539356025e+00   1.795901143e-01   3.151977360e+01   4.412733366e+01     1.386301072e+02     5.482597709e-01    3.000000000e+02   -2.030511623e-26  0.000000000e+00   1.000000000e+00   
3.334002654e-06   6.804087049e-06   6.999587275e-01   4.899422201e-01   9.998820819e-01   1.539198879e+00   1.795626148e-01   9.371670071e+00   1.311956451e+01     4.121632750e+01     2.776034982e-01    3.000000000e+02   4.863847595e-25   0.000000000e+00   1.000000000e+00   
5.318950959e-06   1.085500196e-05   6.999454941e-01   4.899236948e-01   9.998442750e-01   1.539140680e+00   1.795524307e-01   5.103225744e+00   7.143959731e+00     2.244341141e+01     2.101654532e-01    3.000000000e+02   9.493986281e-26   0.000000000e+00   1.000000000e+00   
1.274300780e-05   2.600613837e-05   6.999261281e-01   4.898965848e-01   9.997889487e-01   1.539055512e+00   1.795375276e-01   1.401304854e+00   1.961619762e+00     6.162610234e+00     1.330638688e-01    3.000000000e+02   1.651634630e-21   0.000000000e+00   1.000000000e+00   
3.210754918e-05   6.552561057e-05   6.999136063e-01   4.898790563e-01   9.997531761e-01   1.539000444e+00   1.795278919e-01   2.817294919e-01   3.943726094e-01     1.238958093e+00     8.837759551e-02    3.000000000e+02   1.381057414e-22   0.000000000e+00   1.000000000e+00   
5.020767590e-05   1.024646447e-04   6.999102278e-01   4.898743269e-01   9.997435243e-01   1.538985587e+00   1.795252921e-01   1.237471865e-01   1.732238429e-01     5.441987523e-01     7.376245882e-02    3.000000000e+02   2.455500479e-22   0.000000000e+00   1.000000000e+00   
1.198056380e-04   2.445013020e-04   6.999066167e-01   4.898692721e-01   9.997332083e-01   1.538969706e+00   1.795225134e-01   2.068359839e-02   2.895317474e-02     9.095908106e-02     5.300149763e-02    3.000000000e+02   -2.630549750e-23  0.000000000e+00   1.000000000e+00   
2.099198422e-04   4.284078412e-04   6.999057211e-01   4.898680184e-01   9.997306498e-01   1.538965768e+00   1.795218242e-01   3.904491259e-03   5.465551540e-03     1.717053657e-02     4.338504444e-02    3.000000000e+02   -3.882431470e-22  0.000000000e+00   1.000000000e+00   
4.000429248e-04   8.164141322e-04   6.999057565e-01   4.898680680e-01   9.997307510e-01   1.538965924e+00   1.795218515e-01   -2.600678678e-03  -3.640459955e-03    -1.143684225e-02    3.514848384e-02    3.000000000e+02   -1.425858255e-22  0.000000000e+00   1.000000000e+00   
7.341344488e-04   1.498233569e-03   6.999068608e-01   4.898696139e-01   9.997339058e-01   1.538970780e+00   1.795227013e-01   -3.682272608e-03  -5.154495724e-03    -1.619332590e-02    2.961246412e-02    3.000000000e+02   -8.699923760e-23  0.000000000e+00   1.000000000e+00   
1.427526008e-03   2.913318384e-03   6.999091963e-01   4.898728831e-01   9.997405778e-01   1.538981051e+00   1.795244984e-01   -2.797970441e-03  -3.916650485e-03    -1.230452039e-02    2.545647241e-02    3.000000000e+02   -4.191567406e-21  0.000000000e+00   1.000000000e+00   
3.505135847e-03   7.153338463e-03   6.999106291e-01   4.898748888e-01   9.997446710e-01   1.538987352e+00   1.795256009e-01   1.369910565e-03   1.917629931e-03     6.024412105e-03     2.238485378e-02    3.000000000e+02   8.355679222e-24   0.000000000e+00   1.000000000e+00   
