t[s](1)           t[s/mm2](2)       D[mm](3)          D2[mm2](4)        (D/D0)^2[-](5)    S[mm2](6)         V[mm3](7)         dD/dt[mm/s](8)    dD2/dt[mm2/s](9)    dS/dt[mm2/s](10)    Kv[kg/m2/s](11)    T[K](12)          VL[m/s](13)       VG[m/s](14)       WL_NC7H16(15)     WG_NC7H16(16)     dHev[W/m2](17)    QcondL[W/m2](18)    QcondG[W/m2](19)    Qrad[W/m2](20)    Qfiber[W/m2](21)    QBuoy[W/m2](22)    hBuoy[W/m2/K](23)    QConv[W/m2](24)    hConv[W/m2/K](25)    NC7H16_x(26)      O2_x(27)          H2O_x(28)         CO2_x(29)         CO_x(30)          N2_x(31)          NC7H16_w(32)      O2_w(33)          H2O_w(34)         CO2_w(35)         CO_w(36)          N2_w(37)          
0.000000000e+00   0.000000000e+00   7.000000000e-01   4.900000000e-01   1.000000000e+00   1.539380400e+00   1.795943800e-01   3.245516038e-01   4.543722453e-01     1.427452508e+00     1.080253794e-01    2.997000000e+02   0.000000000e+00   1.760000000e-02   1.000000000e+00   1.000000000e-01   -3.939239686e+04  1.108755193e+04     2.617403115e+06     9.280992416e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      3.012714882e-02   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   9.698728512e-01   1.000000000e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   9.000000000e-01   
2.691818491e-10   5.493507125e-10   6.999999995e-01   4.899999994e-01   9.999999987e-01   1.539380398e+00   1.795943797e-01   1.701866087e+00   2.382612520e+00     7.485197990e+00     1.519541681e+00    3.598431317e+02   1.592469941e-03   2.355386197e-01   1.000000000e+00   3.674195020e-01   -4.956329297e+05  -1.886824464e+06    2.375421418e+06     8.822241814e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      1.396960322e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   8.603039678e-01   3.674195020e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   6.325804980e-01   
3.032745611e-07   6.189276757e-07   6.999997444e-01   4.899996422e-01   9.999992699e-01   1.539379276e+00   1.795941833e-01   3.014375853e-01   4.220124653e-01     1.325791261e+00     8.848987805e-01    3.494418626e+02   1.247662276e-03   1.442706293e-01   1.000000000e+00   2.825931961e-01   -2.949703233e+05  -1.601829032e+06    1.888184008e+06     8.920124666e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      9.919972326e-02   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   9.008002767e-01   2.825931961e-01   0.000000000e+00   0.000000000e+00   0.000000000e+00   0.000000000e+00   7.174068039e-01   
8.397053561e-07   1.713684400e-06   6.999842967e-01   4.899780156e-01   9.999551338e-01   1.539311334e+00   1.795822936e-01   9.960061457e+01   1.394377323e+02     4.380565553e+02     2.350737225e-01    3.414299863e+02   -4.896926956e-02  3.941112894e-02   1.000000000e+00   2.246057276e-01   -7.961839973e+04  -1.366268434e+06    1.537504469e+06     8.989795291e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      7.491449463e-02   2.248358319e-20   0.000000000e+00   1.569301298e-19   9.055678080e-28   9.250855054e-01   2.246057276e-01   2.152553418e-20   0.000000000e+00   2.066395333e-19   7.589264027e-28   7.753942724e-01   
2.216215544e-06   4.522888866e-06   6.999001434e-01   4.898602107e-01   9.997147157e-01   1.538941239e+00   1.795175323e-01   3.540314380e+01   4.955733084e+01     1.556889465e+02     1.625936418e-01    3.326314777e+02   -1.729063871e-02  2.781266971e-02   1.000000000e+00   1.695983613e-01   -5.600192084e+04  -1.088710708e+06    1.171316448e+06     9.060858716e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      5.401371326e-02   1.379887676e-20   0.000000000e+00   2.803235716e-19   6.261383803e-26   9.459862867e-01   1.695983613e-01   1.383549789e-20   0.000000000e+00   3.865710620e-19   5.495556236e-26   8.304016387e-01   
7.169042722e-06   1.463069943e-05   6.998183949e-01   4.897457858e-01   9.994811955e-01   1.538581763e+00   1.794546366e-01   7.555121691e+00   1.057442627e+01     3.322053988e+01     7.848475041e-02    3.227050062e+02   -3.624425672e-03  1.356538536e-02   1.000000000e+00   1.190146242e-01   -2.752626426e+04  -7.419351067e+05    7.680281688e+05     9.134539145e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      3.639295631e-02   7.460769202e-21   0.000000000e+00   1.470276984e-19   1.016893451e-25   9.636070437e-01   1.190146242e-01   7.791122600e-21   0.000000000e+00   2.111709910e-19   9.295701254e-26   8.809853758e-01   
2.211675672e-05   4.513623821e-05   6.997735980e-01   4.896830885e-01   9.993532419e-01   1.538384793e+00   1.794201770e-01   9.910285411e-01   1.386991216e+00     4.357361415e+00     4.676664152e-02    3.162482652e+02   -4.203232388e-04  8.086986913e-03   1.000000000e+00   9.249751833e-02   -1.658908045e+04  -4.724860312e+05    4.809318122e+05     9.178954137e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      2.770548983e-02   4.120702959e-21   7.021337057e-20   0.000000000e+00   7.251612456e-26   9.722945102e-01   9.249751833e-02   4.393078836e-21   4.214333918e-20   0.000000000e+00   6.767410926e-26   9.075024817e-01   
6.274685798e-05   1.280548122e-04   6.997660327e-01   4.896725005e-01   9.993316336e-01   1.538351530e+00   1.794143579e-01   -1.237072550e-01  -1.731322701e-01    -5.439110680e-01    3.317900350e-02    3.133997361e+02   1.114193280e-04   5.730436326e-03   1.000000000e+00   8.230508933e-02   -1.182706411e+04  -3.028012602e+05    3.053101620e+05     9.197703548e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      2.446015031e-02   2.453049420e-21   1.863756142e-19   0.000000000e+00   4.428709821e-26   9.755398497e-01   8.230508933e-02   2.635768759e-21   1.127461006e-19   0.000000000e+00   4.165513134e-26   9.176949107e-01   
1.043021317e-04   2.128614933e-04   6.997734299e-01   4.896828531e-01   9.993527615e-01   1.538384054e+00   1.794200477e-01   -1.848992716e-01  -2.587751949e-01    -8.129662514e-01    2.801571244e-02    3.128291243e+02   1.339240033e-04   4.837013296e-03   1.000000000e+00   8.037130453e-02   -9.996276226e+03  -2.447828921e+05    2.453923298e+05     9.201398467e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      2.385012963e-02   1.442886342e-21   5.139115440e-20   5.764598761e-21   0.000000000e+00   9.761498704e-01   8.037130453e-02   1.552658108e-21   3.113461651e-20   8.531619206e-21   0.000000000e+00   9.196286955e-01   
1.787327902e-04   3.647607963e-04   6.997882994e-01   4.897036640e-01   9.993952327e-01   1.538449433e+00   1.794314855e-01   -1.941788223e-01  -2.717681357e-01    -8.537847787e-01    2.329629856e-02    3.125806204e+02   1.313910094e-04   4.021553037e-03   1.000000000e+00   7.953879393e-02   -8.315863897e+03  -1.966290905e+05    1.955417852e+05     9.203001312e+03   0.000000000e+00     0.000000000e+00    0.000000000e+00      0.000000000e+00    0.000000000e+00      2.358806580e-02   1.172605602e-21   2.495250869e-20   0.000000000e+00   5.938760575e-23   9.764119342e-01   7.953879393e-02   1.262618287e-21   1.512675455e-20   0.000000000e+00   5.597655945e-23   9.204612061e-01   
